UUID;amount
223e4567-e89b-12d3-a456-000000000000;0.1
323e4567-e89b-12d3-a456-000000000000;0.0
323e4567-e89b-12d3-a457-000000000000;10.1
323e4567-e89b-12d3-a458-000000000000;14.2
323e4567-e89b-12d3-a459-000000000000;16.3
223e4567-e89b-12d3-a456-111111111111;0.0
223e4567-e89b-12d3-a456-222222222222;1101.4
223e4567-e89b-12d3-a456-333333333333;21.2
223e4567-e89b-12d3-a456-444444444444;30.2
223e4567-e89b-12d3-a456-555555555555;100.12
223e4567-e89b-12d3-a456-666666666666;173.37
6f79ba78-4ee3-4ef7-b579-f019504e5a7f;0.0
